,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,main_topic,Text,target_label
Doc656,0.01,0.01,0.28,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.16,0.01,5,"It is now cheaper to buy tyres on Ebay and pay to get them fitted yourself. I have also had problems with the tyres since they were fitted. On went down completely whilst I was out working, Causing me to have to go to another fitter and have the wheel shoulder cleaned up and tyre refitted at a cost of £20. The 2nd tyre seems to have a similar problem and goes down slowly.",delivery punctuality
Doc657,0.17,0.27,0.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,2,"Easy, efficient, well-priced service. It gave me a full range of options on tyres and pricing and made it clear the difference between the efficiency of each tyre. I even found a tyre fitter who would travel to me for a small price. Excellent.",mobile fitter
Doc658,0.01,0.13,0.01,0.01,0.1,0.39,0.08,0.17,0.01,0.01,0.01,0.09,5,"I have had a great experience with [REDACTED]. I just have an issue with the garage that fitted them. They were trying to add extra jobs of cleaning my alloys and sealing as they advised they were badly corroded for a mere £80 for two alloys. Thankfully I refused, I had them checked out by another garage who said they wouldn't charge to do such a thing and that my alloys were fine anyway. STAY AWAY from Laws Tyres, Bridge of Don! [REDACTED], I cant fault, the tyres were a little later than agreed but I was given plenty of notice to re-schedule, communication was great. I will choose [REDACTED] again but deliver to another garage",delivery punctuality
Doc659,0.02,0.02,0.02,0.41,0.02,0.02,0.38,0.02,0.02,0.02,0.02,0.02,3,Quick delivery and fitting,change of date
Doc660,0.01,0.25,0.01,0.01,0.34,0.01,0.31,0.01,0.01,0.01,0.01,0.01,4,"Fast easy service, no hassle, let me know the appointment time as well.",wait time
Doc661,0.0,0.13,0.0,0.08,0.14,0.0,0.07,0.0,0.15,0.0,0.25,0.17,10,"Easy to order on-line and a great all in price(including fitting,balancing disposal etc ) Got an appointment slot for a couple of days after ordering. Dropped car off and went away for an hour,returning to find everything done. Staff at garage pleasant and obliging. Would definitely use this service again",length of fitting
Doc662,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.14,0.01,0.22,0.28,0.2,10,"Happy customer. I have used [REDACTED] a number of times now, having four cars in the family.Website easy to use, from start to finish there is never a problem and best of all the prices are very competitive.First class.",length of fitting
Doc663,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.23,0.16,5,Very happy with the speed in which my tyres were delivered to garage and I will use [REDACTED] to replace my tyres again,delivery punctuality
Doc664,0.11,0.3,0.08,0.01,0.09,0.01,0.16,0.21,0.01,0.01,0.01,0.01,1,Great value service. Great service and easy to select a local fitter to carry out the job. Best price that I could find online.,garage service
Doc665,0.01,0.22,0.01,0.01,0.01,0.31,0.11,0.3,0.01,0.01,0.01,0.01,5,"Excellent, very straight forward, tyres ordered and fitted at local garage no hassle and great prices",delivery punctuality
Doc666,0.01,0.36,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.25,1,Really great service! Fast and friendly. Very impressed! Will definitely recommend to anyone who needs tyres in the future. Website very easy to use too!,garage service
Doc667,0.01,0.01,0.01,0.01,0.14,0.42,0.07,0.01,0.26,0.01,0.01,0.07,5,The first & last time I will ever use you. I am still waiting for my tyres to be done. You took £190+ from my account straight away. You then cancelled the first job. I complained & was assured it was booked in for a few days later. I was also told I would be refunded for the cost of them coming directly to my house. Wiltshire Tyres then called me that morning to say they had to chase YOU up as YOU had not re-booked my tyres with them. Wiltshire Tyres then called me again today as they were due to come to my house tomorrow 9am-1pm. They informed me that their driver is sick and now I have to drive my car to Andover (40 miles away) to get the tyres fitted. Absolutely TERRIBLE service and I shall pass my experience on to everyone I know.,delivery punctuality
Doc668,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8,0.01,0.08,0.08,8,"Had my original choice of tyres cancelled, was given another set to choose from which I had no choice but to agree becouse they were the only option available to me. Then the next day another email saying I had to change my fitting day becouse the said tyres would not arrive in time. I rang and spoke to a lady and got it sorted eventually and an over of some kind of compensation was given which when the next email arrived nothing was mentioned about. So all in all not very happy at all.",booking confusion
Doc669,0.01,0.19,0.01,0.01,0.01,0.45,0.01,0.01,0.01,0.01,0.01,0.31,5,Motorhome tyres. Very easy site to use. Very competitive price and also the option to get the tyres fitted when and where I chose. Also got a discount code for purchasing four tyres. Excellent service at Tyre spot where I had them fitted.,delivery punctuality
Doc670,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.54,0.25,0.01,0.01,0.01,7,Best price and added discount on 4 tyres . Timescale was a couple of days to fully fit locally at chosen garage. Ultimately you can’t be beaten on price or service time,location
Doc671,0.01,0.19,0.01,0.01,0.1,0.19,0.01,0.01,0.01,0.01,0.34,0.13,10,Continental tyres 10 off promotion. Great price on premium tyres. Easy system for booking. No paperwork to complete at the tyre bay. Hazlmere Mertyre operate on a first come first served basis and it worked perfectly. No due.In and out in approx 30 mins. Staff at Hazlmere were friendly and helpful.,length of fitting
Doc672,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.37,9,"Very competitive pricing, a good choice of brands and easy tyre fitting arrangement.",tyre quality
Doc673,0.11,0.01,0.01,0.01,0.11,0.16,0.01,0.01,0.01,0.24,0.11,0.22,9,identifying the correct tyres was easier on your site than other sites all this worked well. Unfortunately when I went for my appointment the supplier was short staffed and running late so instead of 9.00 am fitting they were fitted at 3.30pm. They did apologise and were very efficient in fitting them. I was unlucky.,tyre quality
Doc674,0.01,0.01,0.01,0.24,0.01,0.31,0.01,0.23,0.01,0.15,0.01,0.01,5,[REDACTED]. Simple effective order process best price for quality fitted tyres,delivery punctuality
Doc675,0.3,0.15,0.01,0.01,0.12,0.2,0.01,0.01,0.01,0.17,0.01,0.01,0,Good quality tyres and good experience of getting them fitted fast and very friendly,value for money
Doc676,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,11,Very easy to choose tyres of differing types Putting your reg in helps to find the exact size which is important as people tend to change to different types —very good communication and massive saving No hesitation in recommending—thank you,discounts
Doc677,0.3,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.29,0.01,0.16,0.01,0,was given time and date arrived tyers were done found my tracing was out asked if I would like it done the showed me how far it was out .igave them the go head to doit all done with in 1 hour very good service,value for money
Doc678,0.3,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0,Excellent value for money with a great choice of garages.,value for money
Doc679,0.24,0.34,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,1,"Good price, easy process. Great service from SL.",garage service
Doc680,0.01,0.13,0.12,0.01,0.15,0.19,0.01,0.01,0.28,0.01,0.09,0.01,8,"The reg checker was the wrong size and poor service. The reg checker was the wrong size. I went to my fitting and they told me after they'd taken my wheel off, so I'd been there about 30minutes for nothing. Then customer service has been very poor via email as have only responded once. Fed up to be honest and still have paid for a tyre but have not been contacted to get a new one fitted.",booking confusion
Doc681,0.07,0.07,0.18,0.07,0.2,0.37,0.01,0.01,0.01,0.01,0.01,0.01,5,"Did divert now a returning customer. Tried the [REDACTED] own brand this time. Excellent value, and still look the business on 20's.Much quieter than my old Pzeros.Started using a mobile tyre supplier and fitter in recent times of needing tyres, but got them fitted at a affiliated garage and definitely better balancing. Overall a better experience.",delivery punctuality
Doc682,0.01,0.01,0.01,0.22,0.01,0.41,0.01,0.01,0.29,0.01,0.01,0.01,5,I ordered my tyre and was given a installed date of 9am next morning which would have been the Monday. I then received an email saying that my tyre was not arriving and they could not give me a date for install. Several phone calls over several days an I finally got my tyre installed on the Wednesday,delivery punctuality
Doc683,0.3,0.16,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,3,"Availability of an awkward tyre size; good price; quick delivery and excellent fitting service plus an easily navigable web site. Very pleased, will use again and highly recommend.",change of date
Doc684,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,9,"Have used [REDACTED] twice over the past years. I have used [REDACTED] twice over the past years and have been satisfied with their tyres (Kumho), prices and tyre-fitters.",tyre quality
Doc685,0.01,0.01,0.01,0.01,0.01,0.57,0.01,0.01,0.01,0.15,0.18,0.01,5,"4 new tyres fitted, Springside garage, Irvine.Saved £40 on tyres from regular dealers.The fitting went very very quickly, Amazing service.Very satisfied.",delivery punctuality
Doc686,0.57,0.01,0.01,0.01,0.01,0.01,0.09,0.18,0.01,0.01,0.11,0.01,0,Good service by [REDACTED]. [REDACTED] provided a good service at a good price. Only let down was the filters at the local garage they also did a good job but could have been more careful around the cars with jacks and tools and could have taken more care with my diamond cut alloys. They didn’t cause any damage but the potential to have caused damage was quite high.,value for money
Doc687,0.21,0.02,0.22,0.02,0.02,0.02,0.02,0.21,0.02,0.02,0.02,0.22,2,"Easy, good garage, professional and reliable",mobile fitter
Doc688,0.02,0.02,0.02,0.02,0.02,0.25,0.02,0.35,0.02,0.02,0.02,0.25,7,I could trust the prices quoted and I new the garage I wanted to use,location
Doc689,0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,4,Very poor customer response time.,wait time
Doc690,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.37,0.02,0.46,11,It was really easy to find and choose the tyres I wanted.,discounts
Doc691,0.53,0.02,0.02,0.02,0.02,0.02,0.02,0.3,0.02,0.02,0.02,0.02,0,good service and best price,value for money
Doc692,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.33,0.01,0.35,11,"Easy process, good prices and I liked the ability to choose where to change the tyres AND select date & time. Will certainly use again/Thanks",discounts
Doc693,0.01,0.56,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.01,1,Great price. Quality tyres at great prices,garage service
Doc694,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.27,1,Ease of use and impressed with the service from the garage,garage service
Doc695,0.14,0.01,0.01,0.19,0.01,0.01,0.01,0.19,0.01,0.01,0.16,0.25,11,"Will use again, so easy and the best tyres I have ever put on a car (like zero road noise!). Highly recommend.",discounts
Doc696,0.02,0.52,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,1,Great prices and have so many options for where they can be fitted,garage service
Doc697,0.01,0.01,0.09,0.01,0.01,0.3,0.01,0.46,0.01,0.01,0.09,0.01,7,Best price and fitted from the garage Ive been using for years. Bought 4 tyres that were fitted at my usual tyre place for £200 cheaper than they could do!They couldn’t even price match as the [REDACTED] price was less than they could get at trade.Very happy,location
Doc698,0.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.4,0.01,0.01,9,"Good price, good service, when the fitting company couldn’t fulfill the booked time liaised with us to find a suitable alternative.",tyre quality
Doc699,0.02,0.02,0.02,0.02,0.02,0.42,0.42,0.02,0.02,0.02,0.02,0.02,5,Simple I turned up tires got fitted jobs done Very straightforward,delivery punctuality
Doc700,0.01,0.15,0.01,0.01,0.01,0.01,0.19,0.15,0.01,0.15,0.01,0.26,11,"easy to use, convenient times at the garage and excellent pricing!",discounts
Doc701,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,I was fortunate enough to have an installer relatively closeby.,value for money
Doc702,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,11,Easy web site to use at competitive prices,discounts
Doc703,0.28,0.01,0.22,0.01,0.09,0.24,0.01,0.01,0.12,0.01,0.01,0.01,0,"Good price, good selection of appointments and due to unforeseen problems with my locking wheel nut on one of the wheels the guys were able to find a slot the next day when my second tyre could be fitted.",value for money
Doc704,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,5,"4 New Avons. Tyres were at the garage when required, garage was first class.",delivery punctuality
Doc705,0.32,0.22,0.01,0.01,0.01,0.01,0.01,0.38,0.01,0.01,0.01,0.01,7,"Good tyres,good price excellent service from garage fitting them",location
Doc706,0.14,0.19,0.01,0.01,0.01,0.24,0.01,0.23,0.01,0.15,0.01,0.01,5,Brilliant ServiceNo Fuss. Excellent Service provided by [REDACTED] and partnering garage in Rayleigh. Best price offered for a couple of Michelin Pilot Sport 4 tyres and were fitted by F1 Auto centre in Rayleigh without any problem. Will be buying again in future.Highly Recommended.,delivery punctuality
Doc707,0.3,0.01,0.01,0.01,0.49,0.01,0.01,0.01,0.01,0.14,0.01,0.01,4,very good customer service with findingself explantory. very good customer service with finding the tyres and arranging the time of appointment,wait time
Doc708,0.2,0.47,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,1,"Fantastic value, great garage, great service who could ask for more?",garage service
Doc709,0.26,0.39,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,1,Fast efficient service . Competitive prices,garage service
Doc710,0.01,0.45,0.01,0.45,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,Excellent service. Loved the home tyre fitting service. Never done it before and was a little sceptical but was brilliant. Will definitely use again!,garage service
Doc711,0.01,0.01,0.01,0.09,0.01,0.33,0.08,0.01,0.45,0.01,0.01,0.01,8,l have ordered 3 tyres including fitting in a chosen garrage but l never got them on time as l had an MOT booked by the time so l had received an email a bit late that the tyres we not ready for delivery so l had to change my MOT day for the car and it was a lot of hassle for me as to deal with..,booking confusion
Doc712,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.64,0.01,0.22,9,"Good price, easy selection of tyre and known time for installation.",tyre quality
Doc713,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.23,0.56,0.01,0.01,9,Good price for the tyres I wanted. Fitting on time on day of appointment. No down-sides.,tyre quality
Doc714,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.42,0.01,0.01,0.01,0.17,7,I found the price very competitive and the local fitter to be polite quick and professional,location
